Province_State,Country_Region,Data_Start_Date,Data_End_Date,28-Jan,4-Feb,11-Feb,18-Feb,25-Feb,3-Mar,10-Mar,17-Mar,24-Mar,31-Mar,7-Apr,14-Apr,21-Apr,28-Apr,5-May,12-May,19-May,26-May,2-Jun,9-Jun,16-Jun,23-Jun,7-Jul
California,US,4,88,2,6,7,8,10,25,144,698,698,698,698,5163,4886,,,,,,,,,,
Florida,US,39,158,,,,,,3,15,216,216,216,216,3060,4235,5266,6546,7654,8744,9740,10678,11460,12489,13614,16733
Illinois,US,4,88,1,2,1,2,2,4,12,161,161,161,161,4283,4776,,,,,,,,,,
Louisiana,US,46,88,,,,,,,1,196,196,196,196,1977,1798,,,,,,,,,,
Massachusetts,US,11,158,,1,1,1,1,2,92,218,218,218,218,2340,3872,5515,6831,7842,8766,9388,10063,10507,10867,11157,11489
Michigan,US,53,88,,,,,,,,65,65,65,65,3910,3357,,,,,,,,,,
New York,US,39,158,,,,,,2,173,1706,1706,1706,1706,46201,57103,64275,69867,73143,76168,77637,89861,89995,89995,89995,89995
Oregon,US,39,158,,,,,,3,15,66,66,66,66,381,471,554,622,673,714,752,795,851,912,983,1141
South Dakota,US,53,158,,,,,,,,11,11,11,11,45,100,157,220,271,327,378,443,487,562,624,699
Texas,US,25,88,,,,1,1,1,13,110,110,110,110,1409,1419,,,,,,,,,,
Virginia,US,46,158,,,,,,,7,67,67,67,67,1282,1581,3422,4113,4929,5768,6630,7373,7864,8245,8572,9815
