State,Total Cases,Day of First Case,First Peak Height,Day of First Peak,Days from First Case to First Peak,Averages Cases Since First Case,High School Completion,"Crime Rate (per 100,000)","Violent crimes (per 100,000)",Avg Teacher's Salary,Pupil/Teacher Ratio,Expenditure per Student,Population,Population Density,SecondPeak
Alabama,43953,49,375,76,27,385.55,86,3605.0,427.4,49375,15.6,8797,4903185,95.80,1
Alaska,1134,49,27,64,15,11.12,71,3395.8,635.8,65891,8.7,20117,731545,1.30,1
Arizona,98103,2,4877,159,157,831.38,76,3597.4,399.9,45335,17.7,7461,7278717,60.10,0
Arkansas,23823,49,323,90,41,214.62,87,3818.1,480.1,48493,8.0,9573,3017804,57.20,1
California,264681,2,2255,87,85,1975.23,81,2837.2,396.1,71396,20.2,11145,39512223,251.00,1
Colorado,34048,41,978,91,50,281.39,77,2839.2,309.1,49615,16.6,10899,5758736,52.60,0
Connecticut,46732,46,2109,89,43,417.25,87,2157.3,236.9,70583,12.8,17759,3565287,741.20,0
Delaware,12128,47,458,93,46,108.29,87,3471.1,489.1,59305,13.3,15858,973764,484.10,1
District of Columbia,10482,52,335,97,45,94.43,69,5370.0,996.0,64385,12.8,28000,705749,11212.00,0
Florida,200111,38,2052,69,31,1613.80,76,3956.0,540.5,47780,15.1,9223,21477737,375.90,1
Georgia,95516,39,1525,84,45,782.92,73,3658.5,377.3,53560,20.8,9291,10617423,176.40,1
Hawaii,1030,43,63,70,27,10.30,82,3309.2,259.2,56291,14.9,12014,1415872,222.90,1
Idaho,7735,49,210,69,20,85.00,77,2067.0,212.2,44465,18.6,8928,1787065,20.00,1
Illinois,147251,7,4014,109,102,1187.50,86,2445.9,370.0,60124,18.8,13870,12671821,231.40,0
Indiana,48201,42,949,94,52,401.68,88,3014.7,365.3,50289,16.8,8034,6732219,184.60,1
Iowa,31517,45,647,92,47,269.38,91,2367.3,273.5,51744,19.2,10613,3155070,55.90,1
Kansas,16081,44,574,98,54,138.63,86,3083.8,348.6,48221,8.4,9822,2913314,35.60,1
Kentucky,16379,42,577,102,60,157.49,88,2458.5,211.6,50949,30.1,9635,4467673,111.40,0
Louisiana,65345,47,2725,69,22,588.69,75,3973.5,514.7,49067,13.7,10511,4648794,107.20,1
Maine,3416,48,78,117,69,30.50,87,2114.2,127.8,48702,12.7,8957,1344212,43.10,0
Maryland,69635,42,1784,116,74,585.17,86,2953.6,446.1,65363,16.0,14249,6045680,614.50,0
Massachusetts,109974,8,4973,91,83,908.88,86,2248.5,391.4,73195,12.0,16678,6892503,866.60,0
Michigan,72941,47,1991,70,23,623.43,79,2471.2,427.3,62166,16.4,15175,9986857,174.70,1
Minnesota,38136,42,840,120,78,331.62,81,2526.6,229.1,54752,17.0,12180,5639632,69.00,0
Mississippi,30900,48,1688,150,102,283.49,78,3199.7,278.5,42187,13.7,8779,2976149,63.80,0
Missouri,23816,44,462,73,29,207.10,87,3349.4,442.9,46750,8.8,10755,6626371,88.30,1
Montana,1214,49,33,69,20,12.65,85,2796.6,323.7,49893,12.0,10859,1068778,7.10,1
Nebraska,19973,42,727,97,55,172.18,90,2803.9,280.4,49662,10.8,10012,1934408,24.70,0
Nevada,22523,41,310,84,43,197.57,70,3261.0,635.6,55813,19.1,8956,3080156,26.30,1
New Hampshire,5960,38,217,82,44,54.18,88,2158.8,196.1,57057,12.1,17115,1359711,148.40,0
New Jersey,173402,41,4305,70,29,1433.07,89,1995.3,261.2,70043,11.8,20925,8882190,1207.80,0
New Mexico,13256,47,239,89,42,119.42,69,4139.7,597.4,46426,20.9,10633,2096829,17.20,1
New York,397131,38,11434,82,44,3151.83,78,2100.0,381.8,76409,10.9,21366,26161672,419.30,0
North Carolina,72992,39,2046,161,122,613.38,84,3202.6,329.5,44990,15.6,8620,10488084,206.20,0
North Dakota,3851,48,135,85,37,35.33,87,2375.4,265.1,48666,12.1,8518,762062,11.00,1
Ohio,57150,46,1380,86,40,484.32,82,3084.0,284.9,54858,15.7,15175,11689100,283.60,1
Oklahoma,15931,43,160,69,26,140.98,83,3396.7,406.0,45529,22.9,7977,3956971,57.00,1
Oregon,10230,36,169,72,36,88.19,72,3111.3,232.3,59333,21.0,11127,4217737,42.00,1
Pennsylvania,94403,42,2297,90,48,786.69,85,2245.8,314.1,63701,14.0,15691,12801989,285.70,1
Rhode Island,16993,37,648,84,47,163.39,81,2392.8,219.2,64696,16.2,19676,1059361,1010.80,0
South Carolina,44857,43,1854,162,119,390.06,80,3958.0,497.7,47198,14.4,10005,5148714,162.60,0
South Dakota,7064,47,248,106,59,64.22,83,2190.4,326.5,40259,13.8,8989,884659,11.30,0
Tennessee,51316,41,1156,97,56,458.18,87,3669.0,608.4,47742,14.7,9105,6829174,160.10,1
Texas,194932,41,9308,159,118,1584.81,88,3425.3,405.9,50213,13.3,8962,28995881,104.90,0
Utah,24952,43,676,154,111,213.26,84,3094.1,215.6,45654,22.1,7711,3205958,36.50,0
Vermont,1251,44,72,71,27,11.58,88,1623.7,99.3,55958,10.4,23149,623989,67.70,1
Virginia,65748,44,1615,123,79,557.19,85,2126.5,196.2,49826,11.8,10980,8535519,211.70,0
Washington,35936,36,781,69,33,289.81,78,3991.3,285.2,53512,20.0,10055,7614893,107.80,1
West Virginia,3266,54,125,124,70,31.71,85,2336.7,302.0,45887,15.5,12859,1792147,76.60,1
Wisconsin,31577,46,738,162,116,267.60,89,2378.6,290.3,54648,16.0,11424,5822434,106.30,1
Wyoming,1634,48,126,88,40,14.59,79,2160.2,195.5,57318,11.7,16127,578759,6.00,0
